emp_no,first_name,last_name,title,from_date,to_date,dept_name
10001,Georgi,Facello,Senior Engineer,6/26/1986,1/1/9999,Development
10004,Chirstian,Koblick,Engineer,12/1/1986,12/1/1995,Production
10009,Sumant,Peac,Assistant Engineer,2/18/1985,2/18/1990,Quality Management
10018,Kazuhide,Peha,Engineer,4/3/1987,4/3/1995,Development
10035,Alain,Chappelet,Engineer,9/5/1988,9/5/1996,Production
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994,1/1/9999,Sales
10058,Berhard,McFarlin,Senior Staff,4/25/1988,1/1/9999,Marketing
10066,Kwee,Schusler,Assistant Engineer,2/26/1986,2/26/1992,Development
10067,Claudi,Stavenow,Engineer,3/4/1987,3/3/1996,Quality Management
10070,Reuven,Garigliano,Technique Leader,10/14/1985,1/1/9999,Research
10072,Hironoby,Sidou,Engineer,5/21/1989,5/21/1995,Development
10076,Erez,Ritzmann,Senior Engineer,7/15/1996,1/1/9999,Development
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993,1/1/9999,Customer Service
10100,Hironobu,Haraldson,Senior Staff,9/21/1994,1/1/9999,Human Resources
10103,Akemi,Birch,Engineer,1/12/1998,1/1/9999,Development
10126,Kayoko,Valtorta,Senior Staff,9/8/1991,1/1/9999,Customer Service
10129,Armond,Peir,Technique Leader,1/16/1996,1/1/9999,Development
10130,Nishit,Casperson,Senior Engineer,6/21/1988,1/1/9999,Production
10134,Diederik,Siprelle,Engineer,12/12/1987,12/12/1994,Development
10138,Perry,Shimshoni,Engineer,3/3/1992,3/3/2001,Quality Management
10150,Zhenbing,Perng,Engineer,11/16/1986,11/16/1995,Development
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000,1/1/9999,Development
10157,Nigel,Aloisi,Senior Engineer,12/10/1997,1/1/9999,Development
10198,Pranav,Furedi,Engineer,8/31/1985,8/31/1993,Development
10215,Xiaobin,Duclos,Senior Staff,11/23/1991,1/1/9999,Sales
10224,Leon,Trogemann,Engineer,1/9/1988,1/9/1996,Production
10233,Lein,Vendrig,Senior Staff,4/28/2000,1/1/9999,Human Resources
10258,Basil,Ishibashi,Assistant Engineer,5/17/1985,5/17/1991,Development
10272,Yishai,Cannane,Staff,10/23/1997,1/1/9999,Finance
10282,Hercules,Benzmuller,Assistant Engineer,5/2/1996,5/2/2001,Production
10283,Kauko,Birjandi,Engineer,5/25/1988,5/26/1995,Development
10326,Masali,Czap,Staff,9/2/1998,1/1/9999,Research
10340,Djelloul,Laventhal,Senior Staff,3/30/1993,1/1/9999,Marketing
10347,Pradeep,Kaminger,Staff,2/20/1998,1/1/9999,Research
10355,Satyanarayana,Cochrane,Staff,1/26/1996,1/1/9999,Sales
10356,Vasilis,Standera,Senior Staff,6/26/1995,1/1/9999,Research
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985,1/1/9999,Production
10372,Anneli,Frijda,Technique Leader,7/30/1985,1/1/9999,Production
10387,Parto,Wrigley,Senior Staff,1/7/1999,1/1/9999,Customer Service
10396,Sibyl,Rahier,Senior Engineer,1/11/1986,1/1/9999,Development
10402,Volkmar,Ebeling,Technique Leader,1/2/1987,1/1/9999,Quality Management
